# Versioned candidate ledger extracted from ST1 of Teixeira 2025 bbaf589 (DOI 10.1093/bib/bbaf589) on 2026-09-07.
# assembly_accession/sra_run are intentionally empty pending NCBI
# resolution (see python/resolve_ncbi_accessions.py) -- this file is
# NOT yet valid input to `plasbench curate-cohort`, which requires
# both columns populated. Never merge these rows directly into a
# public-vN cohort: run resolve_ncbi_accessions.py, then
# curate-cohort, then a stratified pilot download/score, before any
# release (see docs/FINDING_DATA.md).
sample_id	assembly_accession	sra_run	organism	biosample	source_study	source_doi	source_table	paper_identifier	prior_illumina_assembly_source	illumina_instrument	prior_hybrid_assembly_source	long_read_instrument
enterobacter_hormaechei_bidmc94_011			Enterobacter hormaechei	SAMN03280189	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC94	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
escherichia_coli_bidmc98_012			Escherichia coli	SAMN03280208	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC98	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_bwh27_013			Enterobacter hormaechei	SAMN02138592	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH27	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
enterobacter_asburiae_bwh31_014			Enterobacter asburiae	SAMN02138596	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH31	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
enterobacter_hormaechei_bwh37_015			Enterobacter hormaechei	SAMN02138600	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH37	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
escherichia_coli_bwh49_016			Escherichia coli	SAMN03280195	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH49	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bwh50_017			Escherichia coli	SAMN03280196	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH50	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
serratia_marcescens_bwh56_018			Serratia marcescens	SAMN03280432	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH56	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
serratia_marcescens_bwh57_019			Serratia marcescens	SAMN03280199	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH57	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bwh69_020			Escherichia coli	SAMN04521876	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH69	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bwh73_021			Escherichia coli	SAMN08148225	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH73	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
serratia_marcescens_bwh77_022			Serratia marcescens	SAMN08148229	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH77	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_bwh78_023			Klebsiella pneumoniae	SAMN08148230	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BWH78	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh1_024			Enterobacter hormaechei	SAMN02138541	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH1	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
klebsiella_pneumoniae_mgh101_025			Klebsiella pneumoniae	SAMN03280398	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH101	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_mgh103_026			Citrobacter freundii complex (species A)	SAMN03280163	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH103	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
citrobacter_portucalensis_mgh105_027			Citrobacter portucalensis	SAMN03280165	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH105	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
citrobacter_freundii_complex_species_a_mgh109_028			Citrobacter freundii complex (species A)	SAMN03280167	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH109	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_quasipneumoniae_mgh113_029			Klebsiella quasipneumoniae	SAMN03280402	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH113	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh119_030			Enterobacter hormaechei	SAMN03280183	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH119	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_mgh121_031			Escherichia coli	SAMN03280205	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH121	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_quasipneumoniae_mgh123_032			Klebsiella quasipneumoniae	SAMN03280408	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH123	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_mgh129_033			Escherichia coli	SAMN04521880	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH129	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_roggenkampii_mgh132_034			Enterobacter roggenkampii	SAMN04521883	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH132	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh14_035			Enterobacter hormaechei	SAMN02138554	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH14	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
escherichia_coli_mgh143_036			Escherichia coli	SAMN04521892	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH143	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh147_037			Klebsiella pneumoniae	SAMN04521896	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH147	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh149_038			Klebsiella pneumoniae	SAMN04521898	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH149	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh15_039			Enterobacter hormaechei	SAMN02138555	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH15	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
citrobacter_amalonaticus_mgh151_040			Citrobacter amalonaticus	SAMN04521900	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH151	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh153_041			Klebsiella pneumoniae	SAMN04521902	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH153	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh159_042			Enterobacter hormaechei	SAMN04521908	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH159	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh161_043			Klebsiella pneumoniae	SAMN04521910	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH161	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh177_044			Enterobacter hormaechei	SAMN04521926	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH177	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
pluralibacter_gergoviae_mgh183_045			Pluralibacter gergoviae	SAMN04521932	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH183	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh189_046			Klebsiella pneumoniae	SAMN08148243	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH189	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh193_047			Klebsiella pneumoniae	SAMN08148289	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH193	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh197_048			Enterobacter hormaechei	SAMN08148235	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH197	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh211_049			Klebsiella pneumoniae	SAMN08148251	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH211	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_mgh214_050			Citrobacter freundii complex (species A)	SAMN08148253	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH214	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_mgh217_051			Escherichia coli	SAMN08148295	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH217	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_mgh219_052			Enterobacter hormaechei	SAMN08148256	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH219	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
serratia_marcescens_mgh225_053			Serratia marcescens	SAMN08148259	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH225	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh230_054			Klebsiella pneumoniae	SAMN08148241	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH230	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_aerogenes_mgh233_055			Klebsiella aerogenes	SAMN08148266	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH233	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_roggenkampii_mgh239_056			Enterobacter roggenkampii	SAMN08148269	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH239	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_kobei_mgh240_057			Enterobacter kobei	SAMN08148270	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH240	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_asburiae_mgh243_058			Enterobacter asburiae	SAMN08148273	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH243	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
serratia_marcescens_mgh245_059			Serratia marcescens	SAMN08148275	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH245	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_aerogenes_mgh247_060			Klebsiella aerogenes	SAMN08148277	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH247	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_mgh279_061			Citrobacter freundii	SAMN08148341	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH279	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
citrobacter_freundii_mgh281_062			Citrobacter freundii	SAMN08148335	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH281	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
citrobacter_freundii_mgh281c_063			Citrobacter freundii	SAMN08148334	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH281c	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
citrobacter_freundii_mgh283_064			Citrobacter freundii	SAMN08148336	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH283	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
enterobacter_hormaechei_mgh3_065			Enterobacter hormaechei	SAMN02138543	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH3	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
enterobacter_kobei_mgh37_066			Enterobacter kobei	SAMN02138577	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH37	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
klebsiella_pneumoniae_mgh39_067			Klebsiella pneumoniae	SAMN02138579	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH39	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
klebsiella_pneumoniae_mgh43_068			Klebsiella pneumoniae	SAMN02138583	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH43	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
enterobacter_hormaechei_mgh6_069			Enterobacter hormaechei	SAMN02138546	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH6	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
enterobacter_hormaechei_mgh7_070			Enterobacter hormaechei	SAMN02138547	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH7	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
klebsiella_pneumoniae_mgh83_071			Klebsiella pneumoniae	SAMN03280386	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH83	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
klebsiella_pneumoniae_mgh89_072			Klebsiella pneumoniae	SAMN03280388	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH89	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_mgh97_073			Klebsiella pneumoniae	SAMN03280396	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH97	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_mgh99_074			Citrobacter freundii complex (species A)	SAMN03280161	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	MGH99	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_uci101_075			Enterobacter hormaechei	SAMN04521851	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI101	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci105_076			Klebsiella pneumoniae	SAMN04521855	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI105	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci107_077			Klebsiella pneumoniae	SAMN04521857	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI107	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci117_078			Klebsiella pneumoniae	SAMN04521867	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI117	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
escherichia_coli_uci121_079			Escherichia coli	SAMN04521871	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI121	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
klebsiella_pneumoniae_uci123_080			Klebsiella pneumoniae	SAMN08148172	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI123	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_uci141_081			Citrobacter freundii complex (species A)	SAMN08148189	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI141	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_uci147_082			Enterobacter hormaechei	SAMN08148195	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI147	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_uci148_083			Enterobacter hormaechei	SAMN08148196	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI148	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_uci151_084			Citrobacter freundii complex (species A)	SAMN08148199	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI151	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_uci161_085			Enterobacter hormaechei	SAMN08148208	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI161	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_aerogenes_uci179_086			Klebsiella aerogenes	SAMN08148302	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI179	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci187_087			Klebsiella pneumoniae	SAMN08148306	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI187	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_uci191_088			Escherichia coli	SAMN08148308	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI191	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_asburiae_uci193_089			Enterobacter asburiae	SAMN08148309	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI193	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci75_090			Klebsiella pneumoniae	SAMN03280422	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI75	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterobacter_hormaechei_uci85_091			Enterobacter hormaechei	SAMN03280175	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI85	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_aerogenes_uci89_092			Klebsiella aerogenes	SAMN03280171	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI89	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_uci93_093			Klebsiella pneumoniae	SAMN03280428	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	UCI93	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
enterococcus_canintestini_div0755b_094			Enterococcus canintestini	SAMN16255385	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0755b	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_az015_095			Enterococcus casseliflavus	SAMN16255605	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ015	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az040_096			Enterococcus casseliflavus	SAMN16255583	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ040	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az046_097			Enterococcus casseliflavus	SAMN16255413	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ046	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az049_098			Enterococcus casseliflavus	SAMN16255565	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ049	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az051_099			Enterococcus casseliflavus	SAMN16255426	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ051	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az083_100			Enterococcus casseliflavus	SAMN16255478	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ083	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az136_101			Enterococcus casseliflavus	SAMN16255516	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ136	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_casseliflavus_az173_102			Enterococcus casseliflavus	SAMN16255428	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ173	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_flavescens_div0755f_103			Enterococcus flavescens	SAMN16255393	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0755f	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_div0765a_104			Enterococcus casseliflavus	SAMN16255556	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0765a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_flavescens_div1083b_105			Enterococcus flavescens	SAMN16255389	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1083b	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_div1096b_106			Enterococcus casseliflavus	SAMN16255437	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1096b	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_div1297f_107			Enterococcus casseliflavus	SAMN16255419	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1297f	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_gcid_2564_108			Enterococcus casseliflavus	SAMN16255392	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2564	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_casseliflavus_az149_109			Enterococcus casseliflavus	SAMN16255414	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ149	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_devriesei_gcid_2726_110			Enterococcus devriesei	SAMN16255373	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2726	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_az008_111			Enterococcus faecalis	SAMN16255549	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ008	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az029_112			Enterococcus faecalis	SAMN16255569	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ029	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az081_113			Enterococcus faecalis	SAMN16255544	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ081	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az088_114			Enterococcus faecalis	SAMN16255637	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ088	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az107_115			Enterococcus faecalis	SAMN16255455	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ107	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az112_116			Enterococcus faecalis	SAMN16255540	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ112	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az129_117			Enterococcus faecalis	SAMN16255510	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ129	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
